PMS_Reference__c,tenancy_status__c
103200001001,Current
108892001002,Current
108893001005,Current
108894001004,Current
108895001003,Current
108896001005,Current
108897001002,Current
108898001002,Current
108899001003,Current
108900001002,Current
108901001008,Current
108902001004,Current
109012001001,Current
109014001001,Current
109044001002,Current
109084001002,Current
109689001001,Current
110447256001,Current
103168001002,Current
110447257001,Current
110447258001,Current
110447259001,Current
110447260002,Current
110447261002,Current
110447262001,Current
110447267002,Current
110447271001,Current
110447274001,Current
110447277002,Current
110447279001,Current
110447280003,Current
103075001001,Current
108779001001,Current
110447281100,Current
110447282003,Current
103336078002,Current
110447283002,Current
110447287002,Current
110447288002,Current
110447289001,Current
110447290001,Current
111509003003,Current
122045001001,Current
122045003001,Current
122059001003,Current
122081001002,Current
122089001005,Current
122486004005,Current
122486005007,Current
122486006002,Current
122486008009,Current
122486009005,Current
122486010002,Current
104722012003,Current
103086007001,Current
122486012002,Current
122486013002,Current
122486014005,Current
122486015005,Current
122486016007,Current
122486018003,Current
122486019001,Current
122486020007,Current
122486022006,Current
122486025005,Current
122486026004,Current
122486028005,Current
122486030003,Current
122486031007,Current
122486032007,Current
122486033008,Current
122486034005,Current
103390001001,Current
122486035004,Current
122486036005,Current
122486037005,Current
122486038005,Current
122486039008,Current
122486040007,Current
122486041007,Current
122486042007,Current
122486043003,Current
122486045004,Current
122486046004,Current
104234002003,Current
104296001001,Current
122486047006,Current
122486050008,Current
122486051004,Current
122486052005,Current
122486055004,Current
122486057005,Current
122486058003,Current
122486061005,Current
122486063002,Current
122486064004,Current
122486066002,Current
122486067006,Current
122486068004,Current
122486069003,Current
122486070006,Current
103138001002,Current
104173002004,Current
107359001002,Current
107408001001,Current
122486071006,Current
122486074008,Current
122486075004,Current
122486076009,Current
122486077004,Current
122486080005,Current
122486081004,Current
122486082005,Current
122486083002,Current
122486086003,Current
122486087006,Current
122486088006,Current
122486089007,Current
122486090005,Current
122486094004,Current
122486096007,Current
122486098006,Current
122486099005,Current
104026001003,Current
122486101005,Current
122486103005,Current
122486105008,Current
122486106005,Current
122486107007,Current
122486108003,Current
122486109002,Current
122486110006,Current
122519001004,Current
122539001003,Current
122559010002,Current
122563001001,Current
122564001004,Current
122565001002,Current
122566001002,Current
122567001001,Current
122568001001,Current
122570001003,Current
122572001002,Current
122574001002,Current
122575001003,Current
122576001001,Current
122577001002,Current
122578001004,Current
122579001004,Current
122583001002,Current
122584001003,Current
122586001009,Current
122586002005,Current
122586003004,Current
122586004002,Current
103627001002,Current
122586005002,Current
122586006006,Current
122586007008,Current
122586008006,Current
122586009006,Current
122586010007,Current
122586011005,Current
122586012003,Current
122586013002,Current
122586014005,Current
122586015005,Current
122586016002,Current
122586017006,Current
122586020003,Current
122586021001,Current
122586022003,Current
122586023003,Current
122586024005,Current
122586025006,Current
122586027004,Current
122587001005,Current
122587002001,Current
104173008002,Current
103264001001,Current
104279002002,Current
105099032003,Current
122587003004,Current
122587004005,Current
122587005003,Current
122587006008,Current
122587007008,Current
122587008007,Current
122587009003,Current
122587010005,Current
122587011003,Current
122587012003,Current
122587013006,Current
122587014007,Current
122587015003,Current
122587016002,Current
122587018004,Current
122587019002,Current
122587020004,Current
122587021010,Current
122587022005,Current
122587023001,Current
122587024005,Current
122587025004,Current
122588001008,Current
122590001003,Current
122591001003,Current
122592001003,Current
122593001002,Current
122594001001,Current
122595001004,Current
122596001005,Current
122597001002,Current
122599001003,Current
122600001005,Current
122600003010,Current
122600004005,Current
122600005002,Current
122600006008,Current
122600007008,Current
122600009002,Current
122600010004,Current
122600011004,Current
122600012006,Current
122600013004,Current
122600015004,Current
122600016007,Current
122600017009,Current
122600018006,Current
122600021005,Current
122600022003,Current
122601001005,Current
122601002004,Current
122601003008,Current
122601004008,Current
122601005012,Current
122601009005,Current
122601010005,Current
122601011004,Current
122601013007,Current
122601014002,Current
122601016004,Current
122601018006,Current
122601020008,Current
104724002002,Current
122601021006,Current
122601022002,Current
122601023004,Current
122601024004,Current
122601025005,Current
122601028005,Current
122602001004,Current
122603001005,Current
122605001004,Current
122611001002,Current
122613001006,Current
122613002007,Current
122613003004,Current
122614001003,Current
122615001002,Current
122616001004,Current
103734027002,Current
122617001002,Current
122619001004,Current
122623001005,Current
122623003003,Current
122623005002,Current
122623008005,Current
127010001001,Current
127011001001,Current
127013001001,Current
127029001001,Current
127057087003,Current
127057098001,Current
127057152001,Current
127057175001,Current
127057193007,Current
127057195008,Current
127057200002,Current
127057206005,Current
127057207003,Current
127057212005,Current
127057221006,Current
127057226005,Current
127057233001,Current
127057235004,Current
127057240003,Current
127057241008,Current
127057244004,Current
127063001001,Current
127080001002,Current
127081001001,Current
127087001001,Current
127088001001,Current
127089001001,Current
127098001001,Current
127099004001,Current
127099006002,Current
127107002001,Current
127107003001,Current
127107004001,Current
127111001001,Current
127116001001,Current
127120001001,Current
127129001001,Current
127131003001,Current
127131008001,Current
127131010001,Current
127131012001,Current
127132001001,Current
127135001001,Current
127150001001,Current
127151001001,Current
127158001001,Current
127159001001,Current
127160001001,Current
127168001001,Current
127169001001,Current
127170001001,Current
127171001001,Current
104482001004,Current
127172001001,Current
