Id,CreatedDate,Status,ContractID,OpportunityId,Opportunity_StageName,Opportunity_TenancyId,Opportunity_Tenancy_Status
a0s8d000000DGV5AAO,2022-03-29T10:18:51.000+0000,Draft,8008d000000Y5UaAAK,0064J00000DFSTzQAP,Closed Won,,
a0s4J000002Y5E6QAK,2021-07-14T14:32:24.000+0000,Signed,8004J000001IzGCQA0,0064J00000DFU6KQAX,Closed Won,,
a0s8d000000CwXkAAK,2021-11-24T15:08:56.000+0000,Signed,8008d000000Xx1JAAS,0064J00000DGP6NQAX,Closed Won,,
a0s4J0000018OnRQAU,2021-03-18T12:43:53.000+0000,Signed,8004J000000BRMKQA4,0064J00000DGlDDQA1,Closed Won,,
a0s4J0000018PMpQAM,2021-03-24T16:37:57.000+0000,Signed,8004J000000BVzfQAG,0064J00000DGls7QAD,Closed Won,,
a0s4J0000018PMLQA2,2021-03-24T16:30:46.000+0000,Pre-Send,,0064J00000DGls7QAD,Closed Won,,
a0s4J0000018QccQAE,2021-03-31T14:59:20.000+0000,Signed,8004J000000BbYBQA0,0064J00000DGm7qQAD,Closed Won,,
a0s4J0000018QT8QAM,2021-03-30T12:05:32.000+0000,Cancelled / Declined,,0064J00000DGm7qQAD,Closed Won,,
a0s4J0000018QRgQAM,2021-03-30T09:42:50.000+0000,Cancelled / Declined,,0064J00000DGm7qQAD,Closed Won,,
a0s4J0000018R5oQAE,2021-04-13T13:24:09.000+0000,Signed,8004J000000BcmdQAC,0064J00000DGmRrQAL,Closed Won,,
a0s4J0000018Qn2QAE,2021-04-06T12:02:58.000+0000,Cancelled / Declined,8004J000000BcWuQAK,0064J00000DGmRrQAL,Closed Won,,
a0s4J0000018QduQAE,2021-03-31T16:49:41.000+0000,Signed,8004J000000BbZYQA0,0064J00000DGmgRQAT,Closed Won,,
a0s4J0000018R0oQAE,2021-04-09T16:18:21.000+0000,Signed,8004J000000BciHQAS,0064J00000DGuhKQAT,Closed Won,,
a0s4J0000018QnRQAU,2021-04-06T14:18:09.000+0000,Cancelled / Declined,8004J000000BcY2QAK,0064J00000DGuhKQAT,Closed Won,,
a0s4J0000018QgUQAU,2021-04-01T08:49:42.000+0000,Expired,,0064J00000DGuhKQAT,Closed Won,,
a0s4J000002Y4FcQAK,2021-06-30T14:21:20.000+0000,Expired,8004J000001IyK9QAK,0064J00000DGwb3QAD,Closed Won,,
a0s4J000002Y3Q6QAK,2021-06-17T11:44:36.000+0000,Expired,8004J000000Bf6aQAC,0064J00000DGwb3QAD,Closed Won,,
a0s4J0000018QifQAE,2021-04-01T10:10:24.000+0000,Signed,8004J000000BcTMQA0,0064J00000DH6DEQA1,Closed Won,,
a0s4J0000018RboQAE,2021-04-22T16:58:03.000+0000,Signed,8004J000000BdBYQA0,0064J00000DHFp1QAH,Closed Won,800Pv00000FzfSXIAZ,Draft
a0s4J0000018R6XQAU,2021-04-13T14:49:26.000+0000,Signed,8004J000000BcmxQAC,0064J00000DHG7KQAX,Closed Won,,
a0s4J0000018RHRQA2,2021-04-15T09:48:54.000+0000,Signed,8004J000000BcpIQAS,0064J00000DHGMZQA5,Closed Won,,
a0s4J0000018QoAQAU,2021-04-06T15:36:12.000+0000,Signed,8004J000000BcZ0QAK,0064J00000DHGO6QAP,Closed Won,,
a0s4J0000018QUQQA2,2021-03-30T15:39:09.000+0000,Pre-Send,8004J000000BadAQAS,0064J00000DHGO6QAP,Closed Won,,
a0s4J0000018QULQA2,2021-03-30T15:27:41.000+0000,Draft,8004J000000BadAQAS,0064J00000DHGO6QAP,Closed Won,,
a0s4J0000018PVxQAM,2021-03-25T11:53:21.000+0000,Signed,8004J000000BWtsQAG,0064J00000DHGqZQAX,Closed Won,,
a0s4J0000018RdaQAE,2021-04-23T10:42:09.000+0000,Signed,8004J000000BdClQAK,0064J00000DHGuRQAX,Closed Won,,
a0s4J0000018R5FQAU,2021-04-13T11:44:48.000+0000,Signed,8004J000000BcmEQAS,0064J00000DHH5jQAH,Closed Won,,
a0s4J000002Y3W4QAK,2021-06-18T11:24:12.000+0000,Signed,8004J000001IxbDQAS,0064J00000DHPmEQAX,Closed Won,,
a0s4J0000018QsrQAE,2021-04-06T16:33:27.000+0000,Signed,8004J000000BcZUQA0,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QsmQAE,2021-04-06T16:26:21.000+0000,Draft,,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QoZQAU,2021-04-06T16:09:43.000+0000,Pre-Send,,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QoUQAU,2021-04-06T15:59:57.000+0000,Pre-Send,,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QoKQAU,2021-04-06T15:52:03.000+0000,Pre-Send,,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QRWQA2,2021-03-30T09:31:25.000+0000,Signed,,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QPaQAM,2021-03-29T17:39:41.000+0000,Draft,,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QOXQA2,2021-03-29T15:26:44.000+0000,Cancelled / Declined,,0064J00000DHQ4hQAH,Closed Won,,
a0s4J0000018QuWQAU,2021-04-07T09:52:12.000+0000,Signed,8004J000000BcaNQAS,0064J00000DHQEwQAP,Closed Won,,
a0s4J000002Y58aQAC,2021-07-13T14:59:01.000+0000,Signed,8004J000001IzAxQAK,0064J00000DHQVAQA5,Closed Won,,
