Unit_id ,ERV ,ERV_DATE ,Qube_Unit ID
a1G4J0000025tU4UAI,21996.00,2024-09-30,103057001
a1G4J0000025tTfUAI,0.00,2024-09-30,103058001
a1GNz0000021TBhMAM,0.00,2024-09-30,103059001
a1G4J0000025tUTUAY,0.00,2024-09-30,103061001
a1G4J0000025tV7UAI,0.00,2024-09-30,103061003
a1G4J0000025tTkUAI,0.00,2024-09-30,103062001
a1G4J0000025tUxUAI,16920.00,2024-09-30,103065001
a1G4J0000025tTuUAI,15886.00,2024-09-30,103066001
a1G4J0000025tUiUAI,12672.00,2024-09-30,103067002
a1G4J0000025tTzUAI,16086.00,2024-09-30,103070001
a1G4J0000025tU9UAI,18792.00,2024-09-30,103071001
a1GNz0000021KpzMAE,0.00,2024-09-30,103072001
a1G4J00000260TXUAY,0.00,2024-09-30,103073001
a1GNz0000021TGXMA2,0.00,2024-09-30,103074001
a1G4J0000025tVMUAY,9009.00,2024-09-30,103075001
a1G4J0000025tUnUAI,19136.00,2024-09-30,103078001
a1G4J0000025tTLUAY,0.00,2024-09-30,103079001
a1G4J0000025tTQUAY,0.00,2024-09-30,103079002
a1G4J0000025tT6UAI,0.00,2024-09-30,103079003
a1G4J0000025tTGUAY,0.00,2024-09-30,103079004
a1G4J0000025tTBUAY,0.00,2024-09-30,103079005
a1G4J0000025tSrUAI,0.00,2024-09-30,103079006
a1G4J0000025tT1UAI,0.00,2024-09-30,103079007
a1G4J0000025tSwUAI,0.00,2024-09-30,103079008
a1G4J0000025tSmUAI,0.00,2024-09-30,103080001
a1G4J0000025tUEUAY,15412.00,2024-09-30,103082001
a1G4J0000025tUYUAY,17640.00,2024-09-30,103082002
a1G8d0000004OKFEA2,0.00,2024-09-30,103083001
a1G4J0000025tVCUAY,0.00,2024-09-30,103083002
a1G4J0000025tUdUAI,0.00,2024-09-30,103083007
a1G4J0000025tU5UAI,0.00,2024-09-30,103083009
a1G4J0000025tUsUAI,1.00,2024-09-30,103083018
a1G4J0000025tShUAI,0.00,2024-09-30,103084008
a1G4J0000025tX3UAI,13156.00,2024-09-30,103086001
a1G4J0000025tXwUAI,350.00,2024-09-30,103086002
a1G4J0000025tWjUAI,350.00,2024-09-30,103086003
a1G4J0000025tWFUAY,350.00,2024-09-30,103086004
a1G4J0000025tVbUAI,350.00,2024-09-30,103086005
a1G4J0000025tXDUAY,13780.00,2024-09-30,103086006
a1G4J0000025tVmUAI,350.00,2024-09-30,103086007
a1G4J0000025tXNUAY,350.00,2024-09-30,103086008
a1G4J0000025tUeUAI,350.00,2024-09-30,103086009
a1G4J0000025tYQUAY,350.00,2024-09-30,103086010
a1G4J0000025tZsUAI,350.00,2024-09-30,103086011
a1G4J0000025tZiUAI,9802.00,2024-09-30,103086012
a1G4J0000025taRUAQ,350.00,2024-09-30,103086013
a1G4J0000025tYVUAY,13208.00,2024-09-30,103086014
a1G4J0000025tWKUAY,1.00,2024-09-30,103086015
a1G4J0000025tZnUAI,50.00,2024-09-30,103086016
a1G4J0000025tX8UAI,1.00,2024-09-30,103086017
a1G4J0000025tWtUAI,1.00,2024-09-30,103086018
a1G4J0000025tabUAA,50.00,2024-09-30,103086019
a1G4J0000025tVqUAI,50.00,2024-09-30,103086020
a1G4J0000025tW5UAI,50.00,2024-09-30,103086021
a1G4J0000025tWUUAY,50.00,2024-09-30,103086022
a1G4J0000025tXmUAI,50.00,2024-09-30,103086023
a1G4J0000025tWPUAY,50.00,2024-09-30,103086024
a1G4J0000025tYBUAY,50.00,2024-09-30,103086025
a1G4J0000025tXSUAY,1.00,2024-09-30,103086026
a1G4J0000025tWZUAY,1.00,2024-09-30,103086027
a1G4J0000025tXIUAY,1.00,2024-09-30,103086028
a1G4J0000025tVHUAY,200.00,2024-09-30,103087001
a1G4J0000025tV2UAI,10296.00,2024-09-30,103087002
a1G4J0000025tTaUAI,60.00,2024-09-30,103088001
a1G4J0000025tTVUAY,1.00,2024-09-30,103088002
a1G4J0000025tVlUAI,0.00,2024-09-30,103091001
a1G4J0000025tSyUAI,14418.00,2024-09-30,103091002
a1G4J0000025tTpUAI,51480.00,2024-09-30,103093001
a1G4J0000025tUJUAY,37440.00,2024-09-30,103094001
a1G4J0000025tUjUAI,0.00,2024-09-30,103095001
a1G4J0000025tUtUAI,14625.00,2024-09-30,103096001
a1G4J0000025tUUUAY,19200.00,2024-09-30,103100001
a1G4J0000025tXnUAI,200.00,2024-09-30,103100002
a1G4J0000025tXXUAY,18252.00,2024-09-30,103100003
a1G4J0000025tY6UAI,200.00,2024-09-30,103100004
a1G4J0000025tVWUAY,0.00,2024-09-30,103102001
a1G4J0000025tVgUAI,250.00,2024-09-30,103103001
a1G4J0000025tVvUAI,150.00,2024-09-30,103103002
a1G4J0000025tW0UAI,12600.00,2024-09-30,103104001
a1G4J0000025tV8UAI,0.00,2024-09-30,103105001
a1GNz0000021SM6MAM,0.00,2024-09-30,103107001
a1G4J0000025tZOUAY,15600.00,2024-09-30,103113001
a1G4J0000025tZJUAY,0.00,2024-09-30,103115001
a1G4J0000025tZTUAY,15574.00,2024-09-30,103117001
a1G4J0000025tWeUAI,13728.00,2024-09-30,103121001
a1G4J0000025tUoUAI,100.00,2024-09-30,103124001
a1G4J0000025tWAUAY,15.00,2024-09-30,103124002
a1G4J0000025tXJUAY,100.00,2024-09-30,103125001
a1G4J0000025taHUAQ,15.00,2024-09-30,103125002
a1G4J0000025tVRUAY,97.00,2024-09-30,103126001
a1G4J0000025tZxUAI,200.00,2024-09-30,103127001
a1G4J0000025tVrUAI,1.00,2024-09-30,103128001
a1G4J0000025tXcUAI,1.00,2024-09-30,103129001
a1G4J0000025tXrUAI,200.00,2024-09-30,103129002
a1G4J0000025tXhUAI,9.00,2024-09-30,103132001
a1G4J0000025tY1UAI,1.00,2024-09-30,103132002
a1G4J0000025tYkUAI,50.00,2024-09-30,103133001
a1G4J0000025tYzUAI,155.00,2024-09-30,103133002
a1G4J00000261NMUAY,1.00,2024-09-30,103134001
a1G4J0000025tgKUAQ,1.00,2024-09-30,103134002
a1G4J0000025tZdUAI,9.00,2024-09-30,103135001
a1G4J0000025tYvUAI,150.00,2024-09-30,103135002
a1G4J0000025tZ4UAI,14.00,2024-09-30,103136001
a1G4J0000025tYpUAI,14.00,2024-09-30,103136002
a1G4J0000025tZ9UAI,100.00,2024-09-30,103136003
a1G4J0000025tYaUAI,150.00,2024-09-30,103136004
a1G4J0000025ta2UAA,100.00,2024-09-30,103137001
a1G4J0000025taCUAQ,250.00,2024-09-30,103137002
a1G4J0000025tZEUAY,9.00,2024-09-30,103138001
a1G4J0000025tYfUAI,1.00,2024-09-30,103138002
a1G4J0000025tYqUAI,7.00,2024-09-30,103138003
a1G4J0000025tYuUAI,1.00,2024-09-30,103138004
a1G4J0000025tVcUAI,1.00,2024-09-30,103139001
a1G4J0000025tXYUAY,50.00,2024-09-30,103139002
a1G4J00000261NRUAY,1.00,2024-09-30,103139003
a1G4J0000025tZYUAY,1.00,2024-09-30,103139004
a1G4J0000025tYLUAY,1.00,2024-09-30,103141001
a1G4J0000025tYGUAY,9.00,2024-09-30,103141002
a1G4J0000025tWyUAI,0.00,2024-09-30,103143001
a1G4J0000025tavUAA,0.00,2024-09-30,103144007
a1G4J0000025tahUAA,0.00,2024-09-30,103146001
a1G4J0000025tbZUAQ,0.00,2024-09-30,103146002
a1GNz0000021Sp8MAE,0.00,2024-09-30,103149001
a1G4J0000025ta7UAA,32100.00,2024-09-30,103150001
a1G4J0000025tSsUAI,0.00,2024-09-30,103152001
a1G4J0000025taMUAQ,17686.00,2024-09-30,103154001
a1G4J0000025tWpUAI,18460.00,2024-09-30,103155001
a1G4J0000025talUAA,17576.00,2024-09-30,103156001
a1G4J0000025taWUAQ,18143.00,2024-09-30,103157001
a1G4J0000025tXZUAY,21434.00,2024-09-30,103158001
a1G4J0000025tacUAA,16848.00,2024-09-30,103161001
a1G4J0000025tcmUAA,16038.00,2024-09-30,103163001
a1G4J0000025tbjUAA,150.00,2024-09-30,103166001
a1G4J0000025tZAUAY,200.00,2024-09-30,103166002
a1G4J0000025tXKUAY,200.00,2024-09-30,103166003
a1G4J0000025tU0UAI,50.00,2024-09-30,103166004
a1G4J0000025tbeUAA,50.00,2024-09-30,103166005
a1G4J0000025tU7UAI,11310.00,2024-09-30,103168001
a1G4J0000025tWaUAI,100.00,2024-09-30,103168002
a1G4J0000025tcIUAQ,1.00,2024-09-30,103175001
a1G4J0000025tZeUAI,150.00,2024-09-30,103175002
a1G4J0000025tcNUAQ,1.00,2024-09-30,103175003
a1G4J0000025tcSUAQ,14.00,2024-09-30,103175004
a1G4J0000025tbLUAQ,100.00,2024-09-30,103176001
a1G4J0000025td6UAA,50.00,2024-09-30,103176002
a1G4J0000025tc3UAA,100.00,2024-09-30,103177001
a1G4J0000025tV3UAI,100.00,2024-09-30,103177002
a1G4J0000025tX9UAI,1.00,2024-09-30,103178001
a1G4J0000025taIUAQ,50.00,2024-09-30,103178002
a1G4J0000025tcDUAQ,125.00,2024-09-30,103179001
a1G4J0000025tVhUAI,250.00,2024-09-30,103179002
a1G4J0000025tdQUAQ,25.00,2024-09-30,103180001
a1G4J0000025tWbUAI,1.00,2024-09-30,103180002
a1G4J0000025tdGUAQ,1.00,2024-09-30,103180003
a1G4J0000025tcsUAA,1.00,2024-09-30,103180004
a1G4J0000025tdBUAQ,25.00,2024-09-30,103180005
a1G4J0000025tdLUAQ,150.00,2024-09-30,103180006
a1G4J0000025tWVUAY,200.00,2024-09-30,103180007
a1G4J0000025tdVUAQ,200.00,2024-09-30,103180008
a1G4J0000025tdpUAA,10500.00,2024-09-30,103182001
a1G4J0000025tcrUAA,0.00,2024-09-30,103183001
a1G4J0000025tY7UAI,0.00,2024-09-30,103186001
a1G4J0000025td1UAA,13740.00,2024-09-30,103187001
a1G4J0000025tcOUAQ,0.00,2024-09-30,103188001
a1G4J0000025tdMUAQ,1.00,2024-09-30,103195001
a1G4J0000025taSUAQ,1.00,2024-09-30,103195002
a1G4J0000025taiUAA,76.00,2024-09-30,103196001
a1G4J0000025tT0UAI,150.00,2024-09-30,103196002
a1G4J0000025tZgUAI,0.00,2024-09-30,103198001
a1G4J0000025tchUAA,10200.00,2024-09-30,103200001
a1G4J0000025tcwUAA,0.00,2024-09-30,103203001
a1G4J0000025tdaUAA,0.00,2024-09-30,103210001
a1G4J0000025tZKUAY,0.00,2024-09-30,103211001
a1G4J0000025tdfUAA,0.00,2024-09-30,103212001
a1G4J0000025tU2UAI,0.00,2024-09-30,103213001
a1G4J0000025tdkUAA,0.00,2024-09-30,103214001
a1G4J0000025taNUAQ,0.00,2024-09-30,103215001
a1G4J0000025tdzUAA,9600.00,2024-09-30,103216001
a1G4J0000025tXiUAI,0.00,2024-09-30,103219001
a1G4J0000025tc4UAA,9900.00,2024-09-30,103220001
a1G4J0000025teEUAQ,0.00,2024-09-30,103221001
a1G4J0000025te4UAA,0.00,2024-09-30,103222001
a1G4J0000025teJUAQ,10740.00,2024-09-30,103223001
a1G4J0000025tajUAA,0.00,2024-09-30,103224001
a1G4J0000025teOUAQ,10200.00,2024-09-30,103226001
a1G4J0000025te9UAA,0.00,2024-09-30,103228001
a1G4J0000025tb6UAA,10200.00,2024-09-30,103229001
a1G4J0000025tduUAA,0.00,2024-09-30,103230001
a1G4J0000025teFUAQ,0.00,2024-09-30,103231001
a1G4J0000025tesUAA,0.00,2024-09-30,103232001
a1G4J0000025texUAA,0.00,2024-09-30,103234001
a1G4J0000025teTUAQ,10440.00,2024-09-30,103235001
a1G4J0000025tf2UAA,0.00,2024-09-30,103236001
a1G4J0000025tenUAA,10440.00,2024-09-30,103237001
a1G4J0000025teYUAQ,0.00,2024-09-30,103238001
a1G4J0000025tedUAA,10200.00,2024-09-30,103239001
a1G4J0000025tWcUAI,0.00,2024-09-30,103240001
a1G4J0000025tfMUAQ,9900.00,2024-09-30,103241001
a1G4J0000025tf7UAA,0.00,2024-09-30,103242001
a1G4J0000025tZhUAI,10740.00,2024-09-30,103244001
a1G4J0000025tb1UAA,0.00,2024-09-30,103245001
a1G4J0000025tfqUAA,9900.00,2024-09-30,103246001
a1G4J0000025tfRUAQ,0.00,2024-09-30,103247001
a1G4J0000025tfvUAA,0.00,2024-09-30,103248001
a1G4J0000025teAUAQ,9900.00,2024-09-30,103249001
a1G4J0000025teiUAA,0.00,2024-09-30,103250001
a1G4J0000025tflUAA,10200.00,2024-09-30,103251001
a1G4J0000025tfCUAQ,0.00,2024-09-30,103252001
a1G4J0000025tfbUAA,9600.00,2024-09-30,103253001
a1G4J0000025tU3UAI,0.00,2024-09-30,103255001
a1G4J0000025tfgUAA,10200.00,2024-09-30,103256001
a1G4J0000025tfHUAQ,10500.00,2024-09-30,103257001
a1G4J0000025tfWUAQ,0.00,2024-09-30,103259001
a1G4J0000025tctUAA,0.00,2024-09-30,103260001
a1G4J0000025takUAA,0.00,2024-09-30,103261001
a1G4J0000025tgjUAA,10320.00,2024-09-30,103262001
a1G4J0000025tgFUAQ,0.00,2024-09-30,103263001
a1G4J0000025tgZUAQ,10440.00,2024-09-30,103264001
a1G4J0000025tg5UAA,0.00,2024-09-30,103266001
a1G4J0000025tgAUAQ,0.00,2024-09-30,103270001
a1G4J0000025tgPUAQ,0.00,2024-09-30,103272001
a1G4J0000025tg0UAA,0.00,2024-09-30,103273001
a1G4J0000025tgeUAA,0.00,2024-09-30,103275001
a1G4J0000025tdHUAQ,0.00,2024-09-30,103276001
a1G4J0000025tejUAA,0.00,2024-09-30,103277001
a1G8d0000004OKUEA2,0.00,2024-09-30,103283001
a1G4J0000025tgUUAQ,0.00,2024-09-30,103287001
a1G4J0000025tfNUAQ,0.00,2024-09-30,103288001
a1G4J0000025tgtUAA,0.00,2024-09-30,103330001
a1G4J0000025thrUAA,0.00,2024-09-30,103336056
a1G4J0000025tVtUAI,6495.00,2024-09-30,103336078
a1G4J0000025tTvUAI,6495.00,2024-09-30,103336104
a1G4J0000025tVsUAI,0.00,2024-09-30,103336132
a1G4J0000025tY9UAI,150.00,2024-09-30,103336139
a1G4J0000025th3UAA,200.00,2024-09-30,103337019
a1G4J0000025tXLUAY,200.00,2024-09-30,103337020
a1G4J0000025thDUAQ,0.00,2024-09-30,103337021
a1G4J0000025th8UAA,200.00,2024-09-30,103337036
a1G4J0000025thIUAQ,0.00,2024-09-30,103337037
a1G4J0000025tdWUAQ,6864.00,2024-09-30,103340001
a1G4J0000025tZLUAY,0.00,2024-09-30,103341001
a1G4J0000025tgoUAA,6604.00,2024-09-30,103342001
a1G4J0000025thhUAA,0.00,2024-09-30,103345001
a1G4J0000025thNUAQ,0.00,2024-09-30,103346001
a1G4J0000025tWuUAI,0.00,2024-09-30,103382001
a1G4J0000025tgyUAA,13902.00,2024-09-30,103384001
a1G4J0000025tUyUAI,52200.00,2024-09-30,103385001
a1G4J0000025thXUAQ,9916.00,2024-09-30,103386001
a1G4J0000025thcUAA,150.00,2024-09-30,103386002
a1G4J0000025tY8UAI,12060.00,2024-09-30,103390001
a1G4J0000025thSUAQ,21580.00,2024-09-30,103391001
