"id","status__c","tenancy__c","parent_tenancy","id-2","PMS_Reference__c","ownerid","accountid","recordtypeid","unit__c","status","tenancy_status__c","startdate","enddate","agreement_type__c","document_type__c","memorandum_of_agreement_date__c","actual_move_out_date__c","uplift_percentage__c","security_deposit_amount__c","break_clause__c","special_clauses__c","special_clause_free_text__c","vehicle_make__c","vehicle_model__c","vehicle_registration__c","opportunity__c","PMS_Reference__c-2","accountid-2","break_clause__c-2","recordtypeid-2","Unit__c","StartDate","Tenancy_End_Date__c","status-2","Agreement_Type__c","Description","unit_rn","ownerid-2","document_type__c-2","memorandum_of_agreement_date__c-2","actual_move_out_date__c-2","uplift_percentage__c-2","security_deposit_amount__c-2","special_clauses__c-2","special_clause_free_text__c-2","vehicle_make__c-2","vehicle_model__c-2","vehicle_registration__c-2"
"a24Nz000001S0KfIAK","Closed - Tenant Retained","800Nz000006nmbJIAQ","800Pv00000G56iqIAB","800Nz000006nmbJIAQ","122486020007","0058d000004DOMXAA4","001Nz000004pZRGIA2","012Pv0000021hzSIAQ","a1G4J0000025x2OUAQ","Activated","Activated","2024-01-19","2025-01-18","AST","AST",,,"6.00","1850.00","No Break",,,,,,"006Nz000004wNoMIAU","122486020007","001Nz000004pZRGIA2","No Break","012Pv0000027hGnIAI","a1G4J0000025x2OUAQ","2024-01-19","2025-01-18","Draft","AST","AST","1","0058d000004DOMXAA4","AST",,,"6.00","1850.00",,,,,
"a24Nz000000rbELIAY","Closed - Tenant Retained","8008d000000Yed8AAC","800Pv00000GEkO4IAL","8008d000000Yed8AAC","122526001005","0054J000005JWtDQAW","0018d00000V4cvTAAR","012Pv0000021hzSIAQ","a1G4J0000025wxPUAQ","Activated","Activated","2023-03-28","2024-03-27","AST","AST",,,"6.00","995.00","No Break",,,,,,"0068d00000Cs1cFAAR","122526001005","0018d00000V4cvTAAR","No Break","012Pv0000027hGnIAI","a1G4J0000025wxPUAQ","2023-03-28","2024-03-27","Draft","AST","AST","1","0054J000005JWtDQAW","AST",,,"6.00","995.00",,,,,
"a24Nz0000015G3ZIAU","Cancelled","800Nz000009SIUgIAO","800Pv00000GF1rcIAD","800Nz000009SIUgIAO","122601027009","0054J000004vXOaQAM","0014J00000VvSo4QAF","012Pv0000021hzSIAQ","a1G4J0000025x0uUAA","Activated","Activated","2024-03-08","2025-03-07","AST","AST",,,"4.00","925.00","No Break",,,,,,"006Nz000008bZrtIAE","122601027009","0014J00000VvSo4QAF","No Break","012Pv0000027hGnIAI","a1G4J0000025x0uUAA","2024-03-08","2025-03-07","Draft","AST","AST","1","0054J000004vXOaQAM","AST",,,"4.00","925.00",,,,,
"a24Nz000001ffUrIAI","Complete","800Nz000003jpzAIAQ","800Pv00000G4nKmIAJ","800Nz000003jpzAIAQ","127057237008","0054J000004vXOiQAM","0018d000003WgXOAA0","012Pv0000021hzSIAQ","a1G4J0000025x6YUAQ","Draft","Draft","2023-12-10","2024-12-09","Licence","Parking Licence",,"2024-05-31","6.00","0.00","Check Contract",,,,,,"006Nz000002BNzcIAG","127057237008","001Nz00000AZHQ3IAP","No Break","012Pv0000027hGnIAI","a1G4J0000025x6YUAQ",,,"Draft","Licence","Vacant","1","0054J000004vXOiQAM","Parking Licence",,,"6.00","0.00",,,,,
"a24Nz000001AJ41IAG","Closed - Tenant Retained","800Nz000000m7nDIAQ","800Pv00000GF1KuIAL","800Nz000000m7nDIAQ","127484002001","0054J000004vXPBQA2","0014J00000VvRy4QAF","012Pv0000021hzSIAQ","a1G4J0000025xPfUAI","Activated","Activated","2023-06-12","2026-09-11","Licence","Parking Licence",,,"6.00","0.00","No Break",,,"Toyota C-HR","Black","EG19 UAS","006Nz000000gSMUIA2","127484002001","0014J00000VvRy4QAF","No Break","012Pv0000027hGnIAI","a1G4J0000025xPfUAI","2023-06-12","2024-04-17","Draft","Licence","Licence","1","0054J000004vXPBQA2","Parking Licence",,,"6.00","0.00",,,"Toyota C-HR","Black","EG19 UAS"
"a24Nz000001VZybIAG","Closed - Tenant Retained","800Nz000001jaI7IAI","800Pv00000GEuaRIAT","800Nz000001jaI7IAI","217371116006","0054J000005JWtDQAW","001Nz000001HC5qIAG","012Pv0000021hzSIAQ","a1G4J0000025yKLUAY","Activated","Activated","2023-08-26","2024-08-25","AST","AST",,,"6.00","955.00","No Break",,,,,,"006Nz000001YGZgIAO","217371116006","001Nz000001HC5qIAG","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025yKLUAY","2023-08-26","2024-08-25","Draft","AST","AST","1","0054J000004vXOiQAM","AST",,,"4.00","955.00",,,,,
"a24Nz000000ux3pIAA","Closed - Tenant Retained","8008d000000YNq2AAG","800Pv00000GF2BmIAL","8008d000000YNq2AAG","222491004003","0054J000004vXOiQAM","0014J00000VvSlvQAF","012Pv0000021hzSIAQ","a1G4J0000025y8hUAA","Draft","Ended","2021-10-08","2022-10-07","Licence","Parking Licence",,"2024-03-14","6.00","0.00","Check Contract",,,,,,"0068d000009gVB8AAM","222491004003","0014J00000VvSlvQAF","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025y8hUAA","2024-09-08","2025-03-07","Draft","Licence","Licence","1","0054J000004vXOiQAM","Parking Licence",,,"6.00","0.00",,,,,
"a24Nz00000198IjIAI","Cancelled","800Nz000003FCVOIA4","800Pv00000GF2BgIAL","800Nz000003FCVOIA4","222491093001","0054J000004vXOiQAM","0018d00000G2Q3yAAF","012Pv0000021hzSIAQ","a1G4J0000025y8UUAQ","Activated","Ended","2023-11-07","2024-11-06","Licence","Parking Licence",,"2024-04-08","6.00","0.00","Check Contract",,,,,,"006Nz000002rKViIAM","222491093001","0018d00000G2Q3yAAF","No Break","012Pv0000027hGnIAI","a1G4J0000025y8UUAQ","2023-11-07","2024-11-06","Draft","Licence","Licence","1","0054J000004vXOiQAM","Parking Licence",,"2024-04-08","6.00","0.00",,,,,"BN13NXO"
"a24Nz000001AqxeIAC","Closed - Tenant Retained","8008d000000YjoXAAS","800Pv00000GEuZTIA1","8008d000000YjoXAAS","222522012005","0054J000004vXOiQAM","0018d0000087j1UAAQ","012Pv0000021hzSIAQ","a1G4J0000025yGHUAY","Draft","Ended","2023-05-07","2024-05-06","AST","AST",,,"6.00","745.00","2 at 10 to expire at 12",,"Tenant Break Clause (House Purchase or Work Relocation)
In order to end the tenancy early you may serve on us written notice at any time where you have purchased a house or are relocating due to work. The tenancy will come to an end on the date referred to in your notice, which must be at least two months from the date of service of the notice. Your notice must be accompanied by documentary evidence demonstrating to our satisfaction (acting reasonably) that the house purchase or work relocation necessitates the termination.",,,,"0068d00000CqqCaAAJ","222522012005","0018d0000087j1UAAQ","2 at 10 to expire at 12","012Pv0000027hGnIAI","a1G4J0000025yGHUAY","2024-05-07","2025-05-06","Draft","AST","AST","1","0054J000004vXOiQAM","AST",,,"4.00","745.00",,"Tenant Break Clause (Work Relocation)
In order to end the tenancy early you may serve on us written notice at any time where you are relocating due to work. The tenancy will come to an end on the date referred to in your notice, which must be at least two months from the date of service of the notice. Your notice must be accompanied by documentary evidence demonstrating to our satisfaction (acting reasonably) that work relocation necessitates the termination.",,,
"a24Nz0000011CbFIAU","Complete","800Nz000002xSLiIAM","800Pv00000G56SjIAJ","800Nz000002xSLiIAM","222522016007","0054J000004vXOiQAM","0018d00000G1eRKAAZ","012Pv0000021hzSIAQ","a1G4J0000025xskUAA","Draft","Ended","2023-11-08","2024-11-07","AST","AST",,"2024-05-07","6.00","870.00","2 at 4 to expire at 6",,,,,,"006Nz000001RdeHIAS","222522016007","0018d00000C6jmMAAR","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025xskUAA","2024-05-13","2025-05-12","Draft","AST","AST","1","0054J000004vXOaQAM","AST",,,"4.00","870.00",,,,,
"a24Nz000001DPKzIAO","Closed - Tenant Retained","8008d000000YobmAAC","800Pv00000GF1bvIAD","8008d000000YobmAAC","222522085004","0054J000004vXOiQAM","0018d0000087j1UAAQ","012Pv0000021hzSIAQ","a1G4J0000025yF0UAI","Draft","Ended","2023-06-09","2024-06-08","Licence","Parking Licence",,,"6.00","0.00","Check Contract",,,,,,"0068d00000CqN8wAAF","222522085004","0018d0000087j1UAAQ","No Break","012Pv0000027hGnIAI","a1G4J0000025yF0UAI","2024-06-09","2025-06-08","Draft","Licence","Licence","1","0054J000004vXOiQAM","Parking Licence",,,"6.00","0.00",,,,,
"a24Nz000001C0i1IAC","Closed - Tenant Retained","8008d000000Xya7AAC","800Pv00000G51AOIAZ","8008d000000Xya7AAC","222578050002","0054J000004vXOiQAM","0014J00000atn7lQAA","012Pv0000021hzSIAQ","a1G4J0000025ymsUAA","Activated","Activated","2022-02-06","2023-02-05","AST","AST",,,"3.00","1120.00","2 at 4 to expire at 6",,,,,,"0068d000003qX8VAAU","222578050002","0014J00000auAfpQAE","2 at 4 to expire at 6","012Pv0000027hGnIAI","a1G4J0000025ymsUAA","2022-02-06","2023-02-05","Draft","AST","AST","1","0054J000004vXOiQAM","AST",,,"6.00","1120.00",,"The Landlord agrees that Gift shall pay Rent in Advance and Whitney shall pay Monthly, ISM is therefore as below and not as listed in Appendix 5: 

Gift 

Rent for 6 month tenancy - £3360.00
Security Deposit (50%) - £560

Sub Total - £3920.00 

Minus HD (50%)  - £129.23

Total - £3790.77

Whitney: 

Apportioned rent for period 06/08/2021 - 31/08/2021 - £469.68
Security Deposit (50%) - £560.00

Sub Total - £1029.68

Minus HD (50%) - £129.23

Total - £900.45",,,
"a24Nz000001VdpJIAS","Cancelled","800Nz000000kwZ1IAI","800Pv00000G4uhZIAR","800Nz000000kwZ1IAI","222579142004","0054J000004vXOqQAM","0018d00000aExSdAAK","012Pv0000021hzSIAQ","a1G4J0000025yogUAA","Draft","Draft","2023-06-16","2024-06-15","AST","AST",,,"6.00","1315.00","No Break",,,,,,"0068d00000F5MoXAAV","222579142004","001Nz000000jORCIA2","No Break","012Pv0000027hGnIAI","a1G4J0000025yogUAA","2023-06-16","2024-06-15","Draft","AST","AST","1","0054J000004vXOqQAM","AST",,,"6.00","1315.00",,,,,
